Antigua and Barbuda,آنتیگوا و باربودا
Australia,استرالیا
Bahamas (the),باهاما
Belize,بلیز
Canada,کانادا
Dominica,دومینیکا
Fiji,فیجی
Grenada,گرنادا
Jamaica,جامائیکا
Kiribati,کیریباتی
Marshall Islands (the),جزایر مارشال
Mexico,مکزیک
Micronesia (Federated States of),میکرونزی
Nauru,نائورو
New Zealand,نیوزیلند
Palau,پالائو
Papua New Guinea,پاپوآ گینه نو
Saint Kitts and Nevis,سنت کیتس و نویس
Saint Lucia,سنت لوسیا
Saint Vincent and the Grenadines,سنت وینسنت و گرنادین ها
Samoa,ساموآ
Solomon Islands,جزایر سلیمان
Tonga,تونگا
Tuvalu,تووالو
United States of America (the),ایالات متحده آمریکا
Vanuatu,وانواتو
