Angola,آنگولا
Benin,بنین
Botswana,بوتسوانا
Burkina Faso,بورکینافاسو
Burundi,بوروندی
Cabo Verde,کیپ ورد
Cameroon,کامرون
Central African Republic (the),جمهوری آفریقای مرکزی
Chad,چاد
Congo (the),کنگو
Côte d'Ivoire,ساحل عاج
Democratic Republic of the Congo (the),جمهوری دموکراتیک کنگو
Equatorial Guinea,گینه استوایی
Eritrea,اریتره
Eswatini,اسواتینی
Ethiopia,اتیوپی
Gabon,گابن
Gambia (the),گامبیا
Ghana,غنا
Guinea,گینه
Guinea-Bissau,گینه بیسائو
Kenya,کنیا
Lesotho,لسوتو
Liberia,لیبریا
Madagascar,ماداگاسکار
Malawi,مالاوی
Mali,مالی
Mauritania,موریتانی
Mauritius,موریس
Mozambique,موزامبیک
Namibia,نامیبیا
Niger (the),نیجر
Nigeria,نیجریه
Rwanda,رواندا
Sao Tome and Principe,سائوتومه و پرنسیپ
Senegal,سنگال
Seychelles,سیشل
Sierra Leone,سیرالئون
South Africa,آفریقای جنوبی
South Sudan,سودان جنوبی
Togo,توگو
Uganda,اوگاندا
United Republic of Tanzania (the),تانزانیا
Zambia,زامبیا
Zimbabwe,زیمبابوه
